title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Regional Greenhouse Gas Initiative (RGGI),"<div>The Regional Greenhouse Gas Initiative (RGGI) - the first mandatory, market-based effort in the United States to reduce greenhouse gas emissions - was established in December 2005 by the governors of seven Northeastern and Mid-Atlantic states: <strong>Connecticut, Delaware, Maine, New Hampshire, New Jersey, New York, and Vermont. Massachusetts, Rhode Island, and Maryland</strong> joined RGGI in 2007, bringing the number of participating states to ten.</div><div> </div><div>RGGI sets a cap on emissions of carbon dioxide (CO2) from fossil fuel-fired power plants with a capacity of 25 MW or higher, and allows sources to trade emissions allowances. The RGGI GHG emissions cap, state emissions caps and allowance distribution, and auction design were developed collaboratively between the RGGI states. RGGI is composed of individual CO2 Budget Trading Programs in each of the ten participating states. These ten programmes are implemented through state regulations, based on a RGGI Model Rule, and are linked through CO2 allowance reciprocity. Regulated power plants will be able to use a CO2 allowance issued by any of the ten participating states to demonstrate compliance with the state programme governing their facility. Taken together, the ten individual state programmes will function as a single regional compliance market for carbon emissions. </div><div> </div><div>The programme will begin by capping emissions at current levels in 2009 and then reducing emissions 10% by 2018.  The compliance period begins on 1 January 2009, at which time allowances will become tradable as power plants adjust their GHG emissions levels. The program will include 233 fossil fuel-fired power stations and factories. Power generators must hold allowances covering their CO2 emissions; each allowance allows the emission of one short ton of carbon dioxide emissions. These allowances are to be auctioned, and the proceeds used by the states to support renewable energy, energy efficiency and other low carbon intensity power solutions.  Before the start of the compliance period, pre-compliance emissions allowance auctions are to be held for the 2009-11 period. The first auction took place on 25 September 2008, with 12 565 387 CO2 emissions allowances from Connecticut, Maine, Maryland, Massachusetts, Rhode Island, and Vermont offered for bid to parties. These included entities with compliance obligations, allowance brokers, investors, and environmental groups. 59 separate entities submitted bids. The clearing price was USD 3.07, and the auction generated over USD 38 million in proceeds. States will use these funds for energy efficiency programmes, to mitigate price impacts of the programme on consumers, to stimulate investment in the renewable energy sector, and to cover the administrative costs of the programme.  Auction number 33 took place on 7th of September 2017.</div>",In force,2008,State/Provincial,JOIN IEA/IRENA Policy and Measures Database,,,http://www.rggi.org/home,,1711642099496,"[{""iso3"":""USA"",""name"":""United States""}]","[{""country"":""US"",""code"":""VT"",""name"":""Vermont""}]",[],[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Finance Act 2010 - Ireland Carbon Tax,"<div>Carbon Tax was introduced in 2009 and applies to supplies of mineral oils, solid fuels and natural gas on the basis of the carbon dioxide emitted on combustion.  In line with 2020 Programme for Government policy approach, a carbon tax trajectory providing for annual increases in the rate up to €100 per tonne out to 2030 was introduced in Finance Act 2020.    Revenue raised from increases in the carbon tax since the year 2020 is hypothecated and allocated for expenditure on climate action and the Just Transition. The rate increased to €56.00 per tonne on 11 October 2023 for autofuels and on 1 May 2024 for all other fuels within the scope of carbon tax.  </div>",In force,2010,National,International Energy Agency,2009-12-09,,https://www.irishstatutebook.ie/eli/2010/act/5/enacted/en/html,English,1722344125527,"[{""iso3"":""IRL"",""name"":""Ireland""}]",[],"[""Industry sector-specific processes and technologies""]",[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
 Carbon Tax Act (Act No. 15/2019),"<div>The Carbon Tax Act, enacted in June 2019, gives effect to the polluter-pays-principle for large emitters and helps to ensure that firms and consumers take the negative adverse costs (externalities) into account in their future production, consumption and investment decisions. Firms are incentivized towards adopting cleaner technologies over the next decade and beyond.</div><div>The carbon tax is initially only applied to scope 1 emitters in the first phase. The first phase lasted from 1 June 2019 to 31 December 2022, and the second phase will take place from 2023 to 2030.</div><div> </div><div>The design of the carbon tax also provides significant tax-free emission allowances ranging from 60 per cent to 95 per cent in this first phase. This includes a basic tax-free allowance of 60 per cent for all activities, a 10 per cent process and fugitive emissions allowance, a maximum 10 per cent allowance for companies that use carbon offsets to reduce their tax liability, a performance allowance of up to 5 per cent for companies that reduce the emissions intensity of their activities, a 5 per cent carbon budget allowance for complying with the reporting requirements and a maximum 10 per cent allowance for trade exposed sectors.</div><div> </div><div>The carbon tax rate is sustainably increasing over the years, ranging from R6 to R48 per tonne of CO2e - when taking into account free allowances.</div>",In force,2019,National,International Energy Agency,2019-05-23,,https://www.gov.za/documents/carbon-tax-act-15-2019-english-afrikaans-23-may-2019-0000,English,1717425038658,"[{""iso3"":""ZAF"",""name"":""South Africa""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
New Hampshire Emissions reductions from Power Plants,"<div>In January 2002, an amendment to HB 284, the New Hampshire Clean Power Act, passed by the New Hampshire House of Representatives. The law was signed by the Governor of New Hampshire in May 2002. HB 284 addresses emissions of four important air pollutants: sulfur dioxide (SO2), nitrogen oxides (NOx), mercury, and carbon dioxide (CO2). HB 284 ""caps"" emissions from Public Service of New Hampshires (PSNHs) power plants. These caps are annual (i.e., they apply all year round, not just in the summer ozone season), and they are ""output-based,"" which encourages more efficient generation than traditional ""input-based"" regulation. In addition, emissions trading (i.e., the ability to comply with reduction requirements by purchasing reductions made elsewhere if doing so is more cost-effective) is allowed for SO2, NOx, and CO2. The law requires that carbon dioxide emissions to be reduced to 1990 levels by the end of 2006. This change aligns the target for carbon reductions with those of the New England Governors and Eastern Canadian Premiers Climate Change Action Plan, adopted in August 2001.</div>",In force,2002,State/Provincial,International Energy Agency,2024-05-02,,https://des.nh.gov/organization/divisions/air/tsb/tps/aetp/clean_power_act.htm,,1750777911919,"[{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
First Basic Plan for 2015-2024 - Domestic Emission Trading Scheme,"<div>Korea introduced in 2015 its national emissions trading scheme. <br>In a first phase, the power market will conduct a demonstration project, based on the baseline matrix scheme, and in the next phase other industries like refinery, petrochemical, and steel by electric furnace will constitute a new carbon market. In the last phase, a general emission trading market will be established where the government itself participate as a buyer to absorb the credit offered by the renewable energy and ESCO (energy service company) projects.<br><br></div>",In force,2015,National,International Energy Agency,2014-01-28,,https://www.moef.go.kr/nw/nes/detailNesDtaView.do?menuNo=4010100&searchNttId1=OLD_4020294&searchBbsId1=MOSFBBS_000000000028,,1717426022296,"[{""iso3"":""KOR"",""name"":""Korea""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Directive 2003/87 and Directive 2009/29 establishing an Emissions Trading Scheme,"<div>The European Union Emissions Trading System (EU ETS) is a cap-and-trade type ETS, with the volume of emission allowances determined top-down and decreasing annually. The EU ETS has been the central pillar of the EU climate change policy since it was introduced in 2005. It is the oldest and largest ETS  operating worldwide. The system has gone through several reforms and with the revised EU ETS Directive entered into force, its fourth phase started in January 2021. As part of the 2023 revisions of the ETS Directive, a new emissions trading system named ETS2 was created, separate from the existing EU ETS. This new system will cover and address the CO2 emissions from fuel combustion in buildings, road transport and additional sectors (mainly small industry not covered by the existing EU ETS). The ETS2 will enter into force in 2027.</div>",In force,2005,International,International Energy Agency,2003-07-22,,https://climate.ec.europa.eu/eu-action/eu-emissions-trading-system-eu-ets_en,,1748968014005,"[{""iso3"":""LIE"",""name"":""Liechtenstein""},{""iso3"":""LTU"",""name"":""Lithuania""},{""iso3"":""MLT"",""name"":""Malta""},{""iso3"":""ROU"",""name"":""Romania""},{""iso3"":""SVN"",""name"":""Slovenia""},{""iso3"":""BGR"",""name"":""Bulgaria""},{""iso3"":""HRV"",""name"":""Croatia""},{""iso3"":""CYP"",""name"":""Cyprus""},{""iso3"":""CZE"",""name"":""Czech Republic""},{""iso3"":""DNK"",""name"":""Denmark""},{""iso3"":""EST"",""name"":""Estonia""},{""iso3"":""FIN"",""name"":""Finland""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""},{""iso3"":""GRC"",""name"":""Greece""},{""iso3"":""HUN"",""name"":""Hungary""},{""iso3"":""IRL"",""name"":""Ireland""},{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""LUX"",""name"":""Luxembourg""},{""iso3"":""ISL"",""name"":""Iceland""},{""iso3"":""AUT"",""name"":""Austria""},{""iso3"":""NLD"",""name"":""Netherlands""},{""iso3"":""NOR"",""name"":""Norway""},{""iso3"":""POL"",""name"":""Poland""},{""iso3"":""PRT"",""name"":""Portugal""},{""iso3"":""SVK"",""name"":""Slovak Republic""},{""iso3"":""ESP"",""name"":""Spain""},{""iso3"":""BEL"",""name"":""Belgium""},{""iso3"":""SWE"",""name"":""Sweden""},{""iso3"":""LVA"",""name"":""Latvia""},{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Domestic Emissions Trading Scheme 2005-2007,"<div>The Emissions Trading bill was approved without amendments by the Parliament on 17 December 2004 and entered into force on 1 January 2005. The Norwegian Domestic Emissions Trading Scheme ran from 2005-07, and generally aligned itself with the EU Emissions Trading Scheme, covering only CO2 emissions. Industrial CO2 emitters are allocated a total amount of emissions, and reducing emissions generates credits which can be sold to other emitters needing more. The Scheme covered CO2 emissions from energy use and some industrial processes, and only covered installations not subject to the CO2 Tax (see separate entry) or special agreements on emissions reductions with the State Pollution Control Authority. According to this agreement, existing process industry plants agreed to commit themselves to a 20% reduction in all greenhouse gas (GHG) emissions by 2007, compared to 1990 levels. There was some overlap between installations subject to this agreement and those covered by the emission trading scheme, notably CO2 emissions from refineries and cement. New installations were covered by the emissions trading scheme and not the 20% GHG emissions reduction agreement. Accordingly, emissions trading applied to CO2 emissions in connection with: - Energy production (Combustion installations above 20 MW), - Mineral oil refineries, - Coke production, - Production and processing of iron and steel, including roasting and sintering of iron ore, - Production of cement, lime, glass, glass fibre and ceramic products. The scheme covered 51 installations, accounting for approximately 10-15% of total GHG emissions. In 2008, Norway linked its emissions trading system with the EU ETS (see separate entry).<br><br></div>",Ended,2005,National,JOIN IEA/IRENA Policy and Measures Database,0004-12-17,2007,http://www.regjeringen.no/en/dep/md.html?id=668,,1711634310233,"[{""iso3"":""NOR"",""name"":""Norway""}]",[],"[""Industry sector-specific processes and technologies""]",[],"[{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Climate Change Response Act- Emissions Trading Scheme,"<div>The New Zealand Emissions Trading Scheme (NZ ETS) is New Zealand’s key tool for reducing emissions and meeting its emission reduction targets. It assists New Zealand to meet its international obligations under the Paris Agreement and<br>helps New Zealand meet its 2050 target and emissions budgets.</div><div>The New Zealand Emissions Trading Scheme helps reduce emissions by doing three main things:</div><ul><li>requiring businesses to measure and report on their greenhouse gas emissions</li><li>requiring businesses to surrender one ‘emissions unit’ (known as an NZU) to the Government for each one tonne of emissions they emit</li><li>limiting the number of NZUs available to emitters (i.e. that are supplied into the scheme).</li></ul><div>Businesses who participate in the NZ ETS can buy and sell units from each other. The price for units reflects supply and demand in the scheme. This price signal allows businesses to make economically efficient choices about how to reduce emissions. <br>The NZ ETS covers six greenhouse gases that contribute to global warming. These are:</div><ul><li>carbon dioxide (CO2)</li><li>methane (CH4)</li><li>nitrous oxide (N2O)</li><li>sulfur hexafluoride (SF6)</li><li>hydrofluorocarbons (HFC's)</li><li>perfluorocarbons (PFCs).</li></ul><div>All gases are treated and accounted for the same in the NZ ETS, using the carbon dioxide equivalent (CO2-e) standard unit.</div><div>The Government sets and reduces the number of units supplied into the scheme over time. This limits the quantity that emitters can emit, in line with New Zealand’s emission reduction targets. All sectors of New Zealand's economy, apart from agriculture, pay for their emissions through their NZ ETS surrender obligations. The agriculture sector reports its emissions through the NZ ETS but does not have surrender obligations. <br>Schedule 3 of the Climate Change Response Act sets forth the activities that are included under the emissions trading scheme for the following sectors: forestry, liquid fossil fuels, stationary energy, industrial processes, agriculture, and waste. Owners of coal mines producing or stockpiling more than 2,000 tonnes of coal per year are required to participate in the scheme. </div>",In force,2008,National,International Energy Agency,2020-06-22,,https://www.legislation.govt.nz/act/public/2020/0022/latest/whole.html,,1726068064899,"[{""iso3"":""NZL"",""name"":""New Zealand""}]",[],[],"[""Methane tracker""]","[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Methane abatement"",""family"":""Economic policies"",""name"":""Emissions trading schemes and certified reduction credits"",""category"":""Oil and natural gas extraction""},{""topic"":""Methane abatement"",""family"":""Economic policies"",""name"":""Emissions trading schemes and certified reduction credits"",""category"":""Coal and lignite mining""}]"
Swiss Emissions Trading Scheme and CO2 Tax,"<div>A Swiss Emissions Trading Scheme took effect on 1 January 2008, at the same time that a CO2 tax was introduced. The scheme is linked to voluntary agreements to reduce emissions under the pre-existing CO2 Law. Companies covered by voluntary agreements can convert these agreements into legally binding CO2 emissions targets, allowing them to participate in emissions trading and be exempted from the CO2 tax. Emission allowances are allocated to companies for free and from 2008, emission allowances equivalent to the amount of CO2 emitted have to be surrendered annually. Additional allowances can be sold. Where non-compliance occurs (i.e. where the adequate number of allowances is not surrendered) the CO2 tax is paid retroactively for each tonne of CO2 emitted since the exemption was granted.<br><br></div>",In force,2008,National,International Energy Agency,2008-01-01,,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-13369.html,,1711640540113,"[{""iso3"":""CHE"",""name"":""Switzerland""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
Carbon Pricing Mechanism,"<div>The previous Australian government introduced a price on carbon, which took effect on 1 July 2012. The carbon pricing mechanism was fixed at a price of AUD23 a tonne in 2012-13, and was then set to transition to a flexible market price under a ‘cap and trade’ scheme in 2015-16. In both the fixed and the flexible price periods, liable entities had to pay a price for every tonne of carbon (or the equivalent amount of certain other greenhouse gases) that was emitted. Liable entities were to be required to report on their emissions, and can meet their obligations by either surrendering the appropriate number of allocated units, or paying a unit shortfall charge. A price on carbon pollution was expected to create incentives for Australia’s biggest polluters to reduce their emissions and invest in clean energy. Australia has also committed to reducing its emissions by between 5 and 15 - 25 per cent below 2000 levels by 2020. The five per cent target is unconditional. The upper limit targets of 15 per cent or 25 per cent were conditional on the extent of international action. On 27 January 2010, Australia formally submitted its full target range to the Copenhagen Accord. The decision to maintain the full range was consistent with the approach taken by other countries. The government also committed to a long-term target to cut pollution by 80 per cent below 2000 levels by 2050. The Clean Energy Act 2011 has now been repealed. This abolished the Carbon Pricing Mechanism with effect 1 July 2014.</div>",Ended,2012,National,International Energy Agency,2011-11-08,2014,http://www.cleanenergyregulator.gov.au/Infohub/CPM/About-the-mechanism,,1711642233157,"[{""iso3"":""AUS"",""name"":""Australia""}]",[],[],[],"[{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
