title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Law 416/2019 on the ban of the use of coal for energy production,"<div>On 27 February 2019, Finland adopted a law aiming to ban the use of coal for power generation after 1 May 2029. In addition, there are subsidies for companies that implement the change before 2026. The energy use of coal ended in Spring 2025, four years before the deadline of May 2029 as required by this law.</div>",Achieved,2019,National,JOIN IEA/IRENA Policy and Measures Database,2019-02-27,2029,https://www.finlex.fi/fi/laki/alkup/2019/20190416#Pidm46434450509808,,1747729469229,"[{""iso3"":""FIN"",""name"":""Finland""}]",[],"[""Coal""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations,"<div>In 2018, the Government of Canada announced amendments to the <em>Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations</em> (2012) to accelerate the phase-out of conventional coal-fired power generation from 2050 to 2030. The regulations do so by requiring all units to meet a performance standard of 420 t/GWh by December 31, 2029. Owners/operators can achieve the requirements by installing carbon capture equipment, switching to run on natural gas, or shutting down operations.</div><div> </div><div>The Government of Canada can negotiate equivalency agreements “with provinces that have regulations capable of achieving equal or better emission-reduction outcomes compared to the federal regulations. These agreements would establish conditions under which the federal regulations would not apply in a given province, and provincial regulations would apply instead.</div>",In force,2018,National,International Energy Agency,2018-11-30,2030,https://www.canada.ca/en/environment-climate-change/services/managing-pollution/energy-production/technical-backgrounder-regulations-2018.html,,1709029751786,"[{""iso3"":""CAN"",""name"":""Canada""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
COP23 - Portugal's coal phase-out,"<div>As part of its decarbonization strategy, and pledges in Bonn for COP23, Portugal pledges to phase-out coal use in the power sector by 2030 at the latest. <br>The target was achieved in November 2021 by closing the Pego and Sines power plants. </div>",Achieved,2017,National,International Energy Agency,2017-11-16,2021,https://beyondfossilfuels.org/europes-coal-exit/,,1752583614918,"[{""iso3"":""PRT"",""name"":""Portugal""}]",[],[],"[""Government Energy Spending"",""Covid-related""]","[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Decarbonization plan for the electrical system,"<div>The government released a plan detailing the coal phase out of the electrical system, a technology that adds up to over 5 GW of installed capacity in Chile. The plan is made in agreement with the coal-fired plant owners/operators. The objective is to phase out or reconvert all coal-fired power plants no later than 2040. <br>The first phase, planned to be completed by 2024, will decomission 11 units (31% of installed capacity, 1731 MW). </div>",In force,2019,National,International Energy Agency,2019-06-19,2040,https://energia.gob.cl/mini-sitio/plan-de-descarbonizacion-de-la-matriz-electrica,,1709030181817,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],"[""Combined heat and power (CHP)"",""Coal"",""Electricity generation and CHP technologies""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Act to Reduce and End Coal-Fired Power Generation,"<div>The Act to Reduce and End Coal-Fired Power Generation aims at gradually reducing and eventually phasing out from hard coal and lignite power generation. Its goal is to phase out from coal in a socially responsible and economically viable manner. It thus created an adaptation fund as well as new state funding guidelines for energy-intensive businesses. It also created a funding programme for GHG neutral heat generation and use.  <br><br>The schedule is as follows: <br>- Reach 15 GW of hard coal and 15 GW of lignite power generation capacity in 2022<br>- Reach 8 GW of hard coal and 9 GW of lignite power generation capacity in 2030<br>- The rest must be decommissioned by 2038. <br><br>The law stipulates several years in which the government will evaluate whether the decommissioning can be moved up to 2035. <br><br>The federal government introduced tenders for the decommissioning of hard coal-fired power plants. In seven tendering phases more than 40 bids were awarded a total amount of more than 10 GW, to be closed gradually by 2026. The German government also committed to cover a total of 4.35 billion EUR in payments to utilities for the country's operators of lignite-fired power plants. This would accelerate the shutdown of their assets and waive operator's rights for future lawsuits once they agree to receive the payments.<br><br>In 2021, the German government considered that an earlier coal phase out was possible, leading the government to envision an exit from coal before 2038. <br><br>In 2022, the Federal Government, in agreement with the operator, accelerated the phase-out of lignite in the Rhenish mining area from 2038 to 2030.</div>",In force,2021,National,International Energy Agency,2020-08-14,2038,https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2021/20210401_Kohle.html?nn=404530,German,1722329704385,"[{""iso3"":""DEU"",""name"":""Germany""}]",[],"[""Combustion-based power generation"",""Coal"",""Electricity generation and CHP technologies""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
NECP - Final retirement of coal-fired power generation plants,"<div>The government announced the retiring of the following lignite power generation plants by 2023 (3,912‬ MW in total):</div><ul><li>Kardia 1&amp;2 in 2019 (550 MW)</li><li>Amyntaio 1&amp;2 in 2020 (546 MW)</li><li>Kardia 3&amp;4 in 2021 (560 MW)</li><li>Agios Dimitrios 1,2,3&amp;4 and Megalopolis 3 in 2022 (1 369 MW)</li><li>Agios Dimitrios 5, Florina/Meliti, Megalopolis 4 in 2023 (887 MW)</li></ul><div><br>The last coal-fired unit, Ptolemaida V, is still under construction and has a capacity of 660 MW. Its phase-out is set for 2025, after which it will be converted to a natural gas plant. </div>",Ended,2019,National,International Energy Agency,,2025,https://ec.europa.eu/energy/sites/ener/files/el_final_necp_main_en.pdf#page=96,English,1750777914629,"[{""iso3"":""GRC"",""name"":""Greece""}]",[],"[""Combustion-based power generation"",""Coal"",""Electricity generation and CHP technologies""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Bill on the prohibition of coal-fired thermoelectric plants,"<div>The Bill was drafted and presented in January 2020. It recognizes the impacts of emissions from coal-fired power plants as a risk to human health and to the environment. On June 22, 2021, the Bill was approved by the Chamber of Deputies.</div><div> </div><div>The installation and operation of coal-fired thermoelectric plants will be prohibited throughout the country. For power plants that are less than 30 years old, the ban will take effect on December 31, 2025.</div><div> </div>",In force,2021,National,International Energy Agency,2021-06-22,2025,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=13743&prmBOLETIN=13196-12,Spanish,1709030433290,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],"[""Combustion-based power generation"",""Electricity generation and CHP technologies"",""Coal""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Carbon Neutrality Vision and Strategy for Industry and Energy,"<div>Korea announced its first comprehensive strategy to achieve carbon neutrality in the industry and energy sectors, ""Carbon Neutrality Vision and Strategy for Industry and Energy"". <br><br>The vision named ""Manufacturing Renaissance 2.0"" is the No.4 industrial powerhouse to lead a low-carbon economy, with 5 objectives aimed for 2050. <br>1) Expand share of renewables to 70.8%<br>2) Increase self-sufficiency rate of clean hydrogen to 60%<br>3) Expand share of high value-added, eco-friendly items to 84.1%<br>4) Reduce carbon intensity in the manufacturing industry to 68tCO2eq/KRW billion<br>5) Improve export ranking to 4th.<br><br>The government vowed all-out support with tax, finance, and regulatory innovation for firms to phase-out coal power generation by 2050 and achieve a carbon-free energy mix with renewables and hydrogen. Industrial R&amp;D projects focused on carbon-neutral technologies, environment-friendly infrastructure, low-carbon materials, parts and equipment, and green engineering will be pushed ahead as well. </div>",In force,2021,National,International Energy Agency,,2050,https://english.motie.go.kr/en/pc/pressreleases/bbs/bbsView.do?bbs_seq_n=897&bbs_cd_n=2&currentPage=9&search_key_n=&search_val_v=&cate_n,,1709042739910,"[{""iso3"":""KOR"",""name"":""Korea""}]",[],"[""CO2 Capture"",""CO2 capture and transport technologies"",""Electricity generation and CHP technologies"",""Hydrogen"",""Hyrogen fuel cells""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null},{""topic"":""Economy-wide"",""family"":""Framework legislation"",""name"":""Master Energy Plan"",""category"":null}]"
Updated National Energy and Climate Plan (NECP) - Coal phase-out target ,<div>The Czech government set a coal phase-out target by 2033 in its 2023 updated NECP. <br>Czechia also joined the Powering Past Coal Alliance in the same year. </div>,In force,2023,National,International Energy Agency,2023-10-31,2033,https://commission.europa.eu/system/files/2023-10/Czech%20Draft%20Updated%20NECP%202021%202030_en.pdf,,1706282072860,"[{""iso3"":""CZE"",""name"":""Czech Republic""}]",[],"[""Mining technologies""]",[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
Integrated National Energy and Climate Plan for Austria - coal phase-out,"<div>Austria closed in 2020 the Mellach district heating power plant, which was the last coal power plant in operation in the country.<br>This coal phase-out stems from the broader objective of the government to reach 100% low-carbon electricity by 2030, quoted in its last National Energy and Climate Plan (NECP). </div>",Achieved,2020,National,International Energy Agency,2020-04-20,2020,https://infothek.bmk.gv.at/historisch-oesterreichs-letztes-kohlekraftwerk-vom-betrieb-genommen/,,1714642600203,"[{""iso3"":""AUT"",""name"":""Austria""}]",[],[],[],"[{""topic"":""Power"",""family"":""Regulations"",""name"":""Plan to phase-out unabated coal"",""category"":null}]"
